n_producers,time_of_production,avg_count
1,1.0,0.9983754107938069
2,4.0,0.7986869823484108
3,2.6666666666666665,1.1981006770149123
4,0.75,5.148793897957082
5,1.6,3.2140681780438727
6,1.6666666666666667,3.5949855933951875
7,1.1428571428571428,5.987293109730441
8,0.5,9.719840625731523
9,0.3333333333333333,11.05559126183228
10,0.9,9.384228773742205
11,0.18181818181818182,12.9163530945284
12,0.3333333333333333,12.494652179091569
13,0.23076923076923078,13.647741751544093
14,0.35714285714285715,13.075056997216489
15,0.6,12.849142218450769
16,0.3125,14.447363770053922
17,0.29411764705882354,15.045759214074868
18,0.4444444444444444,14.844800994429463
19,0.3157894736842105,16.001961017472095
20,0.35,16.42553398685814
21,0.047619047619047616,18.48382339550681
22,0.45454545454545453,17.23593213111361
23,0.17391304347826086,18.74603579688678
24,0.4166666666666667,17.62229551907025
25,0.16,19.714421976636864
26,0.38461538461538464,18.664308919177337
27,0.25925925925925924,19.96330506666735
28,0.17857142857142858,20.785289039394335
29,0.27586206896551724,20.918478877174778
30,0.03333333333333333,22.57865260479938
31,0.06451612903225806,22.85493965646497
32,0.125,23.035213233488033
33,0.2727272727272727,22.79835413673283
34,0.29411764705882354,23.36911473091572
35,0.02857142857142857,25.267817265480424
36,0.16666666666666666,24.782951282432077
37,0.21621621621621623,25.131173635414335
38,0.2631578947368421,25.451038100464512
39,0.07692307692307693,26.939065419396332
40,0.25,26.472135337223904
41,0.21951219512195122,27.122011159225934
42,0.14285714285714285,28.198125749473597
43,0.16279069767441862,28.167868485977003
44,0.09090909090909091,29.188673516743854
45,0.1111111111111111,29.669543175364954
46,0.08695652173913043,30.180131263845965
47,0.1276595744680851,30.61034461165274
48,0.0625,31.359665062222053
49,0.10204081632653061,31.527691282938328
50,0.16,31.855307883925796
51,0.0784313725490196,32.70274202771222
52,0.019230769230769232,33.38717196312983
53,0.05660377358490566,33.76787270183079
54,0.07407407407407407,34.21889159690714
55,0.03636363636363636,34.930505774963805
56,0.14285714285714285,34.756302474267656
57,0.05263157894736842,35.854047171288535
58,0.15517241379310345,36.0482435149014
59,0.03389830508474576,36.91700229528934
60,0.016666666666666666,37.619526385934435
61,0.16393442622950818,37.053549186518694
62,0.04838709677419355,38.4711887716632
63,0.06349206349206349,38.656186949000656
64,0.03125,39.4632884957947
65,0.1076923076923077,39.54535040337001
66,0.015151515151515152,40.47391040958903
67,0.05970149253731343,40.825313895630245
68,0.014705882352941176,41.40093148516185
69,0.028985507246376812,41.71300289401504
70,0.08571428571428572,42.01579081120091
71,0.11267605633802817,42.52387637494557
72,0.09722222222222222,42.81337648968121
73,0.0958904109589041,43.43612846694916
74,0.013513513513513514,44.597521759458445
75,0.02666666666666667,45.032199501823456
76,0.13157894736842105,45.048589116100835
77,0.12987012987012986,45.46953199250047
78,0.0641025641025641,45.9439452949688
79,0.05063291139240506,46.0625600051493
80,0.075,46.909510503939856
81,0.012345679012345678,47.49477007097772
82,0.08536585365853659,47.33070809736118
83,0.03614457831325301,48.42644224799197
84,0.011904761904761904,48.457435229051846
85,0.058823529411764705,48.7537978558697
86,0.011627906976744186,49.42007293415598
87,0.11494252873563218,49.14617275294668
88,0.045454545454545456,50.43482852897802
89,0.07865168539325842,50.36753529536092
90,0.05555555555555555,50.726633964018696
91,0.10989010989010989,51.454753215488
92,0.10869565217391304,51.384360723917595
93,0.0967741935483871,51.45432362875256
94,0.06382978723404255,52.090457049655505
95,0.10526315789473684,52.43736121125954
96,0.07291666666666667,53.271039318531166
97,0.08247422680412371,54.01664957267228
98,0.09183673469387756,53.987125241963156
99,0.0707070707070707,54.050754385167906
